# Time	f1(t)	f2(t)
4.420221e+00	1.172802e-03	1.715521e-09
4.440222e+00	1.167826e-03	1.717549e-09
4.460223e+00	1.162874e-03	1.719529e-09
4.480224e+00	1.157948e-03	1.721463e-09
4.500225e+00	1.153046e-03	1.723351e-09
4.520226e+00	1.148168e-03	1.725193e-09
4.540227e+00	1.143314e-03	1.726989e-09
4.560228e+00	1.138484e-03	1.728740e-09
4.580229e+00	1.133678e-03	1.730446e-09
4.600230e+00	1.128895e-03	1.732108e-09
4.620231e+00	1.124136e-03	1.733726e-09
4.640232e+00	1.119399e-03	1.735300e-09
4.660233e+00	1.114685e-03	1.736830e-09
4.680234e+00	1.109994e-03	1.738318e-09
4.700235e+00	1.105325e-03	1.739762e-09
4.720236e+00	1.100678e-03	1.741164e-09
4.740237e+00	1.096053e-03	1.742525e-09
4.760238e+00	1.091450e-03	1.743843e-09
4.780239e+00	1.086869e-03	1.745120e-09
4.800240e+00	1.082309e-03	1.746356e-09
4.820241e+00	1.077770e-03	1.747552e-09
4.840242e+00	1.073253e-03	1.748707e-09
4.860243e+00	1.068756e-03	1.749821e-09
4.880244e+00	1.064280e-03	1.750897e-09
4.900245e+00	1.059825e-03	1.751932e-09
4.920246e+00	1.055390e-03	1.752929e-09
4.940247e+00	1.050976e-03	1.753887e-09
4.960248e+00	1.046582e-03	1.754806e-09
4.980249e+00	1.042207e-03	1.755687e-09
5.000250e+00	1.037853e-03	1.756530e-09
5.020251e+00	1.033518e-03	1.757336e-09
5.040252e+00	1.029203e-03	1.758104e-09
5.060253e+00	1.024907e-03	1.758836e-09
5.080254e+00	1.020631e-03	1.759530e-09
5.100255e+00	1.016374e-03	1.760189e-09
5.120256e+00	1.012136e-03	1.760811e-09
5.140257e+00	1.007917e-03	1.761398e-09
5.160258e+00	1.003716e-03	1.761949e-09
5.180259e+00	9.995345e-04	1.762465e-09
5.200260e+00	9.953713e-04	1.762946e-09
5.220261e+00	9.912266e-04	1.763393e-09
5.240262e+00	9.871001e-04	1.763805e-09
5.260263e+00	9.829919e-04	1.764183e-09
5.280264e+00	9.789018e-04	1.764527e-09
5.300265e+00	9.748297e-04	1.764838e-09
5.320266e+00	9.707754e-04	1.765116e-09
5.340267e+00	9.667388e-04	1.765360e-09
